category,state,jobs_retained,total_loan_amount
Carpet and Rug Mills,OH,3,40918.00
Audio and Video Equipment Manufacturing,RI,5,40900.00
Dairy Product (except Dried or Canned) Merchant Wholesalers,KY,13,40900.00
Ship Building and Repairing,VI,6,40900.00
Greeting Card Publishers,AZ,4,40890.00
Custom Computer Programming Services,GU,11,40887.00
Dog and Cat Food Manufacturing,VT,8,40886.00
Electric Lamp Bulb and Part Manufacturing,SC,3,40850.00
Courts,NC,6,40846.45
Chocolate and Confectionery Manufacturing from Cacao Beans,AZ,2,40838.67
Packaged Frozen Food Merchant Wholesalers,UT,6,40835.00
Storage Battery Manufacturing,NY,1,40833.33
Scheduled Passenger Air Transportation,CT,6,40819.54
Armored Car Services,TN,0,40819.00
Concrete Pipe Manufacturing,MI,4,40803.00
Hardware Manufacturing,ND,11,40800.00
Mobile Food Services,VI,9,40797.50
Claims Adjusting,WV,3,40774.90
Direct Title Insurance Carriers,NV,3,40769.00
Tobacco and Tobacco Product Merchant Wholesalers,DC,15,40749.00
Office Machinery and Equipment Rental and Leasing,AK,5,40726.25
Rubber Product Manufacturing for Mechanical Use,SC,4,40705.00
Other Crushed and Broken Stone Mining and Quarrying,MA,3,40700.00
Glass Product Manufacturing Made of Purchased Glass,PR,11,40700.00
Chocolate and Confectionery Manufacturing from Cacao Beans,MT,4,40700.00
Other Electronic and Precision Equipment Repair and Maintenance,MP,3,40669.00
Blind and Shade Manufacturing,NM,4,40663.00
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",WY,2,40650.00
Postharvest Crop Activities (except Cotton Ginning),MA,,40627.50
Clay and Ceramic and Refractory Minerals Mining,KY,2,40625.00
"Rooming and Boarding Houses, Dormitories, and Workers' Camps",ME,10,40618.46
Residential Mental Health and Substance Abuse Facilities,WY,7,40600.00
Metal Tank (Heavy Gauge) Manufacturing,PR,16,40600.00
Motor and Generator Manufacturing,TN,0,40600.00
Sports Teams and Clubs,GU,10,40587.00
Scheduled Freight Air Transportation,ID,2,40571.77
Turkey Production,OR,12,40558.96
Stationery and Office Supplies Merchant Wholesalers,MP,15,40555.17
Corn Farming,NH,3,40552.00
Photographic and Photocopying Equipment Manufacturing,WY,5,40547.00
Spice and Extract Manufacturing,HI,3,40537.00
Tree Nut Farming,HI,4,40505.00
"Frozen Fruit, Juice, and Vegetable Manufacturing",HI,1,40500.00
Synthetic Rubber Manufacturing,AZ,3,40490.00
Stationery and Office Supplies Merchant Wholesalers,WV,1,40476.00
Sound Recording Studios,NE,6,40460.50
All Other Miscellaneous Food Manufacturing,DE,182,40452.00
"Scenic and Sightseeing Transportation, Land",OK,10,40418.75
Precision Turned Product Manufacturing,NE,3,40400.00
Satellite Telecommunications,IN,5,40400.00
Wood Window and Door Manufacturing,RI,3,40400.00
"Crop Harvesting, Primarily by Machine",PR,16,40400.00
Current-Carrying Wiring Device Manufacturing,WA,0,40400.00
Hardwood Veneer and Plywood Manufacturing,NM,6,40400.00
School and Employee Bus Transportation,VA,7,40395.00
Industrial Launderers,AR,7,40374.59
Railroad Rolling Stock Manufacturing,AZ,,40369.00
Industrial Gas Manufacturing,IN,,40367.00
Sheep Farming,MN,15,40337.00
Photofinishing Laboratories (except One-Hour),IA,5,40333.00
Postal Service,WV,11,40308.00
Satellite Telecommunications,HI,,40300.00
Metal Heat Treating,VA,5,40300.00
Forest Nurseries and Gathering of Forest Products,MD,4,40300.00
Tortilla Manufacturing,NJ,7,40281.00
Support Activities for Oil and Gas Operations,VT,5,40280.00
Travel Trailer and Camper Manufacturing,NH,6,40250.60
Steel Foundries (except Investment),VT,1,40250.00
Roasted Nuts and Peanut Butter Manufacturing,PA,5,40247.00
Sheep Farming,IL,9,40210.00
"Scenic and Sightseeing Transportation, Other",SC,12,40204.50
Packaged Frozen Food Merchant Wholesalers,RI,,40200.00
All Other Rubber Product Manufacturing,MS,5,40200.00
Wood Preservation,OK,7,40192.91
Manufactured Home (Mobile Home) Manufacturing,KY,6,40185.00
Commercial Banking,NE,4,40182.00
Food (Health) Supplement Stores,DC,3,40179.00
Tree Nut Farming,SD,2,40176.00
"Pottery, Ceramics, and Plumbing Fixture Manufacturing",HI,4,40167.50
"Sewing, Needlework, and Piece Goods Stores",DC,2,40167.00
Turkey Production,AL,7,40145.00
Paint and Wallpaper Stores,AK,,40140.00
Coastal and Great Lakes Passenger Transportation,MN,4,40130.00
Ice Manufacturing,WY,14,40100.00
Other Animal Food Manufacturing,HI,2,40100.00
Paper Bag and Coated and Treated Paper Manufacturing,MO,4,40100.00
All Other Metal Ore Mining,NY,10,40097.00
All Other Rubber Product Manufacturing,UT,5,40090.60
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",MN,1,40058.00
Computer and Office Machine Repair and Maintenance,DE,7,40057.27
Formal Wear and Costume Rental,NE,12,40057.00
News Syndicates,DC,4,40048.00
Floriculture Production,AR,11,40039.05
Petrochemical Manufacturing,DE,5,40035.00
Ice Manufacturing,DE,0,40007.00
Children's and Infants' Clothing Stores,MP,11,40000.00
Confectionery Manufacturing from Purchased Chocolate,OK,18,40000.00
Ball and Roller Bearing Manufacturing,LA,3,40000.00
Noncurrent-Carrying Wiring Device Manufacturing,AZ,5,40000.00
In-Vitro Diagnostic Substance Manufacturing,ME,3,40000.00
Iron Ore Mining,GA,4,40000.00
Plumbing Fixture Fitting and Trim Manufacturing,RI,,40000.00
Synthetic Dye and Pigment Manufacturing,IL,4,40000.00
Pension Funds,LA,6,40000.00
Potato Farming,DC,7,40000.00
Other Cut and Sew Apparel Manufacturing,DC,12,39986.00
Rendering and Meat Byproduct Processing,WY,7,39980.00
Junior Colleges,AL,7,39972.00
Electromedical and Electrotherapeutic Apparatus Manufacturing,OR,1,39950.00
Power-Driven Handtool Manufacturing,NV,0,39918.76
Armored Car Services,NV,218,39912.00
Surface Active Agent Manufacturing,NY,12,39910.00
Other Lighting Equipment Manufacturing,ME,3,39900.00
Printing Ink Manufacturing,RI,4,39900.00
Clay Building Material and Refractories Manufacturing,MN,7,39900.00
Newsprint Mills,CA,8,39872.50
Power Boiler and Heat Exchanger Manufacturing,NM,5,39865.00
Farm Management Services,NJ,6,39861.00
Knit Fabric Mills,PA,2,39852.00
Chicken Egg Production,MD,9,39850.00
Secondary Smelting and Alloying of Aluminum,IL,,39812.50
Pipeline Transportation of Crude Oil,MS,8,39800.00
Asphalt Shingle and Coating Materials Manufacturing,KY,5,39800.00
Other Aquaculture,NC,3,39796.00
Political Organizations,NJ,2,39780.00
Facilities Support Services,ND,4,39780.00
"Dry, Condensed, and Evaporated Dairy Product Manufacturing",OR,1,39756.05
Fabric Coating Mills,VT,5,39747.00
Heavy Duty Truck Manufacturing,ID,7,39735.70
Hazardous Waste Collection,OK,4,39732.00
"Colleges, Universities, and Professional Schools",DE,9,39703.32
Sheep Farming,IN,2,39702.00
Petroleum Lubricating Oil and Grease Manufacturing,NV,60,39700.00
Mortgage and Nonmortgage Loan Brokers,SD,4,39700.00
Direct Title Insurance Carriers,WY,5,39700.00
Fire Protection,DC,5,39700.00
Offices of Bank Holding Companies,AL,7,39688.30
Hazardous Waste Collection,NJ,8,39674.00
Analytical Laboratory Instrument Manufacturing,TN,3,39620.80
Flat Glass Manufacturing,ME,4,39617.00
Household Appliance Stores,MP,6,39606.00
Libraries and Archives,MT,3,39600.00
Electric Lamp Bulb and Part Manufacturing,KY,6,39600.00
Metal Household Furniture Manufacturing,TN,0,39600.00
Wheat Farming,SC,7,39600.00
Other Grocery and Related Products Merchant Wholesalers,DC,11,39585.18
Inland Water Passenger Transportation,GA,6,39547.00
Footwear and Leather Goods Repair,ND,4,39530.00
"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",ME,5,39520.63
Hay Farming,MS,11,39517.67
Bituminous Coal Underground Mining,MN,5,39509.58
Administration of Conservation Programs,OK,5,39500.00
Fluid Power Valve and Hose Fitting Manufacturing,WV,5,39500.00
Explosives Manufacturing,KY,3,39500.00
"Aluminum Sheet, Plate, and Foil Manufacturing",CT,0,39500.00
"Other Justice, Public Order, and Safety Activities",SC,3,39500.00
Wheat Farming,DC,0,39500.00
Credit Unions,KS,6,39457.00
All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,RI,,39444.00
Aircraft Manufacturing,VT,1,39405.00
Engineered Wood Member (except Truss) Manufacturing,WV,1,39404.05
Armored Car Services,AR,9,39400.00
Motor Vehicle Electrical and Electronic Equipment Manufacturing,AR,5,39400.00
Pipeline Transportation of Refined Petroleum Products,MO,,39400.00
Savings Institutions,DC,0,39400.00
Printing Ink Manufacturing,WA,0,39333.33
"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",PA,9,39328.32
Meat Processed from Carcasses,AZ,13,39321.00
Women's Handbag and Purse Manufacturing,MN,0,39318.00
Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,NE,10,39312.00
Rendering and Meat Byproduct Processing,TN,6,39310.00
Scheduled Freight Air Transportation,RI,1,39300.00
Plastics Plumbing Fixture Manufacturing,NV,6,39300.00
Mineral Wool Manufacturing,MS,4,39300.00
"Doll, Toy, and Game Manufacturing",KS,8,39300.00
Chicken Egg Production,NJ,3,39291.00
Spring Manufacturing,AL,6,39271.00
Coal and Other Mineral and Ore Merchant Wholesalers,NV,3,39252.00
"Fiber, Yarn, and Thread Mills",IN,6,39237.00
Industrial Design Services,SD,2,39219.00
Flour Milling,NJ,2,39208.00
All Other Metal Ore Mining,NM,0,39203.00
Monetary Authorities-Central Bank,MI,3,39200.00
Grape Vineyards,NJ,10,39200.00
Electromedical and Electrotherapeutic Apparatus Manufacturing,DE,2,39200.00
Pipeline Transportation of Refined Petroleum Products,NJ,1,39200.00
Other Engine Equipment Manufacturing,MT,4,39200.00
Surface Active Agent Manufacturing,MI,6,39200.00
Electronic Computer Manufacturing,SD,5,39187.00
All Other Support Services,VI,8,39166.00
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",NH,2,39158.00
Scheduled Freight Air Transportation,KS,3,39140.00
Seafood Product Preparation and Packaging,SC,8,39122.00
Sewage Treatment Facilities,IN,0,39117.00
Perishable Prepared Food Manufacturing,MS,9,39100.00
Directory and Mailing List Publishers,AR,0,39100.00
Consumer Electronics and Appliances Rental,NH,5,39100.00
All Other Miscellaneous Electrical Equipment and Component Manufacturing,PR,9,39100.00
Luggage and Leather Goods Stores,AL,2,39082.27
Warehouse Clubs and Supercenters,MP,17,39080.00
Beer and Ale Merchant Wholesalers,DC,15,39075.00
Music Publishers,HI,2,39074.00
Wireless Telecommunications Carriers (except Satellite),WY,6,39041.65
Pesticide and Other Agricultural Chemical Manufacturing,WI,4,39032.00
Graphic Design Services,GU,7,39025.00
Cheese Manufacturing,ME,9,39015.91
Voluntary Health Organizations,SD,6,39012.00
Other Waste Collection,WV,7,39000.00
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",CT,4,39000.00
Plastics Pipe and Pipe Fitting Manufacturing,SC,0,39000.00
Sanitary Paper Product Manufacturing,IA,7,39000.00
Savings Institutions,CT,7,39000.00
Other Sound Recording Industries,ME,4,39000.00
"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",ME,11,39000.00
Cemeteries and Crematories,AK,5,39000.00
Grape Vineyards,NM,0,39000.00
Dog and Cat Food Manufacturing,IA,2,39000.00
Credit Unions,LA,5,38995.00
Synthetic Rubber Manufacturing,TN,4,38987.50
Libraries and Archives,PR,12,38987.00
Recyclable Material Merchant Wholesalers,DC,8,38985.00
"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",SD,0,38964.00
Packaged Frozen Food Merchant Wholesalers,DC,4,38950.00
Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,AK,5,38949.00
Telephone Apparatus Manufacturing,VI,9,38941.47
Industrial and Personal Service Paper Merchant Wholesalers,NM,2,38923.75
Biological Product (except Diagnostic) Manufacturing,WI,4,38906.00
Confectionery Manufacturing from Purchased Chocolate,MT,18,38900.00
Animal (except Poultry) Slaughtering,MS,3,38900.00
Steam and Air-Conditioning Supply,KY,6,38900.00
Musical Instrument Manufacturing,SC,5,38888.00
Aircraft Manufacturing,MT,6,38861.00
Convention and Trade Show Organizers,VT,5,38839.52
Toilet Preparation Manufacturing,PR,17,38832.00
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,AK,3,38817.75
Paper (except Newsprint) Mills,NE,,38816.00
Armored Car Services,WY,6,38813.00
Furniture Stores,VI,8,38800.00
National Security,DE,0,38800.00
Institutional Furniture Manufacturing,PR,7,38800.00
Packaging Machinery Manufacturing,NV,3,38800.00
Theater Companies and Dinner Theaters,PR,11,38800.00
Stationery and Office Supplies Merchant Wholesalers,DE,4,38793.00
"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",AK,11,38773.54
Stationery and Office Supplies Merchant Wholesalers,DC,1,38750.00
Administration of Veterans' Affairs,WV,17,38728.00
Polish and Other Sanitation Good Manufacturing,NV,13,38727.00
Petroleum Lubricating Oil and Grease Manufacturing,MT,0,38720.00
Cotton Farming,CO,4,38718.55
Crushed and Broken Granite Mining and Quarrying,NY,,38712.50
Electromedical and Electrotherapeutic Apparatus Manufacturing,AR,6,38707.50
Support Activities for Printing,WV,5,38707.00
Optical Instrument and Lens Manufacturing,NE,4,38704.00
Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,KY,5,38700.00
Motor and Generator Manufacturing,KS,4,38700.00
Leather and Hide Tanning and Finishing,SC,4,38700.00
Commodity Contracts Dealing,MO,8,38699.00
Pipeline Transportation of Refined Petroleum Products,CO,1,38695.24
Motor Vehicle Electrical and Electronic Equipment Manufacturing,OR,7,38682.00
Household Furniture (except Wood and Metal) Manufacturing,MD,6,38680.00
"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",MS,6,38652.50
All Other Miscellaneous General Purpose Machinery Manufacturing,PR,6,38635.00
Motor Vehicle Parts (Used) Merchant Wholesalers,SD,3,38632.50
Glass Container Manufacturing,AZ,6,38631.00
Tobacco Manufacturing,WV,5,38627.00
"Other Justice, Public Order, and Safety Activities",WV,6,38600.00
Crushed and Broken Limestone Mining and Quarrying,WV,5,38600.00
Other Insurance Funds,AZ,5,38590.00
Confectionery and Nut Stores,VT,6,38578.00
Small Arms Ammunition Manufacturing,AZ,7,38577.00
"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",IA,5,38575.42
Casinos (except Casino Hotels),NJ,2,38565.20
All Other Consumer Goods Rental,GU,17,38563.52
Space Research and Technology,AZ,0,38557.00
Fats and Oils Refining and Blending,VA,0,38553.00
All Other Miscellaneous Schools and Instruction,AS,17,38548.12
Totalizing Fluid Meter and Counting Device Manufacturing,MD,3,38503.67
Solid Waste Combustors and Incinerators,MD,3,38500.00
"Colleges, Universities, and Professional Schools",VT,,38500.00
Labor Unions and Similar Labor Organizations,OK,6,38500.00
Air Traffic Control,IA,6,38500.00
Other Motion Picture and Video Industries,ME,6,38440.63
"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",SC,,38416.00
Junior Colleges,MI,5,38400.00
All Other Transportation Equipment Manufacturing,ME,5,38400.00
Ship Building and Repairing,HI,6,38400.00
Savings Institutions,VA,2,38400.00
American Indian and Alaska Native Tribal Governments,NY,5,38388.00
Parole Offices and Probation Offices,MS,7,38375.00
Hardware Stores,GU,7,38370.00
Flat Glass Manufacturing,KS,4,38367.50
Materials Recovery Facilities,AK,4,38355.47
Aircraft Engine and Engine Parts Manufacturing,SC,0,38350.00
Wood Kitchen Cabinet and Countertop Manufacturing,VI,7,38350.00
Flat Glass Manufacturing,KY,7,38349.00
Berry (except Strawberry) Farming,NE,5,38345.00
One-Hour Photofinishing,DC,1,38341.34
Plastics Bottle Manufacturing,UT,5,38320.00
Music Publishers,AR,4,38318.00
Other Aquaculture,DC,1,38310.00
Carbon and Graphite Product Manufacturing,PA,4,38305.00
Museums,VI,11,38300.00
Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,VT,0,38300.00
"Other Aluminum Rolling, Drawing, and Extruding",MN,4,38285.00
"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",WV,7,38270.75
Radio Networks,GU,7,38270.00
Communication Equipment Repair and Maintenance,NH,6,38267.00
Emergency and Other Relief Services,AK,3,38265.00
Executive Offices,MT,6,38262.00
Record Production and Distribution,CT,1,38250.00
Research and Development in Nanotechnology,MS,3,38250.00
Forest Nurseries and Gathering of Forest Products,CT,9,38247.42
Other Nonferrous Metal Foundries (except Die-Casting),OR,2,38229.00
Department Stores,HI,7,38212.00
Breakfast Cereal Manufacturing,PA,5,38200.00
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,NE,5,38130.00
Police Protection,SC,5,38129.12
Potato Farming,RI,12,38108.00
"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",ID,0,38100.00
Oilseed and Grain Combination Farming,DE,,38100.00
Junior Colleges,NM,6,38100.00
Abrasive Product Manufacturing,MN,4,38100.00
Fabric Coating Mills,OR,8,38100.00
"Cafeterias, Grill Buffets, and Buffets",GU,13,38078.00
Materials Recovery Facilities,WY,13,38076.52
"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",PR,3,38063.62
Pesticide and Other Agricultural Chemical Manufacturing,OR,2,38051.00
Hog and Pig Farming,MD,11,38039.92
Dental Equipment and Supplies Manufacturing,MD,4,38032.00
Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,NM,7,38012.00
Dog and Cat Food Manufacturing,CT,10,38002.50
Cheese Manufacturing,NH,7,38000.00
Interurban and Rural Bus Transportation,TN,14,38000.00
Space Research and Technology,NM,2,38000.00
Ammunition (except Small Arms) Manufacturing,NC,1,37991.00
Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,ME,6,37970.00
Steel Wire Drawing,MN,7,37955.00
Other Support Activities for Road Transportation,VT,4,37950.00
Wheat Farming,KY,2,37936.92
Commercial Bakeries,VI,8,37922.00
Electric Bulk Power Transmission and Control,MD,1,37915.00
Other Apparel Knitting Mills,OR,,37908.00
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,DE,5,37900.00
Other Aircraft Parts and Auxiliary Equipment Manufacturing,IA,4,37900.00
Electric Lamp Bulb and Part Manufacturing,UT,4,37900.00
Translation and Interpretation Services,MT,3,37885.07
"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",IL,2,37835.25
Other Insurance Funds,VT,3,37813.12
Totalizing Fluid Meter and Counting Device Manufacturing,CO,3,37800.00
Textile and Fabric Finishing Mills,AS,21,37800.00
Convention and Trade Show Organizers,SD,4,37797.50
Facilities Support Services,MT,17,37787.00
Optical Instrument and Lens Manufacturing,AR,5,37785.20
Other Nonhazardous Waste Treatment and Disposal,HI,3,37765.00
Sheep Farming,MI,12,37762.10
All Other Miscellaneous Waste Management Services,GU,5,37750.00
Reconstituted Wood Product Manufacturing,CT,1,37745.00
Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,WY,4,37725.00
Motion Picture Theaters (except Drive-Ins),PR,55,37710.00
"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",LA,7,37704.00
Storage Battery Manufacturing,ID,10,37700.00
Industrial Gas Manufacturing,NC,5,37700.00
Hog and Pig Farming,ME,4,37700.00
Industrial Gas Manufacturing,WV,5,37700.00
"Fiber, Yarn, and Thread Mills",KS,7,37700.00
All Other Transportation Equipment Manufacturing,WY,4,37700.00
Blank Magnetic and Optical Recording Media Manufacturing,WI,2,37700.00
Paper Bag and Coated and Treated Paper Manufacturing,MA,6,37670.00
Office Furniture (except Wood) Manufacturing,MS,2,37665.50
Radio Networks,VT,11,37655.00
Other Aircraft Parts and Auxiliary Equipment Manufacturing,ME,3,37627.00
Sheep Farming,CT,4,37607.00
Paper Bag and Coated and Treated Paper Manufacturing,LA,3,37600.00
Parking Lots and Garages,NH,8,37600.00
Analytical Laboratory Instrument Manufacturing,OK,4,37600.00
Motor Home Manufacturing,ME,5,37600.00
Audio and Video Equipment Manufacturing,WV,5,37600.00
Reinsurance Carriers,MO,4,37598.25
Specialty Canning,UT,0,37594.00
"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",NM,,37583.00
Plumbing Fixture Fitting and Trim Manufacturing,NE,7,37550.00
Bed-and-Breakfast Inns,PR,20,37536.15
All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,MD,7,37525.97
One-Hour Photofinishing,WI,7,37520.00
Dry Pea and Bean Farming,AL,5,37510.00
Medicinal and Botanical Manufacturing,DE,4,37500.00
Motor Vehicle Seating and Interior Trim Manufacturing,NY,5,37500.00
Leather and Hide Tanning and Finishing,DC,10,37500.00
Broadwoven Fabric Mills,OR,4,37500.00
Health and Welfare Funds,MT,3,37500.00
Petroleum Lubricating Oil and Grease Manufacturing,NH,,37500.00
Telemarketing Bureaus and Other Contact Centers,HI,,37500.00
Other Motor Vehicle Parts Manufacturing,GU,,37500.00
Structural Steel and Precast Concrete Contractors,VT,6,37500.00
Oil and Gas Field Machinery and Equipment Manufacturing,NY,2,37500.00
Other Crushed and Broken Stone Mining and Quarrying,MI,4,37500.00
Support Activities for Printing,RI,0,37500.00
Offices of Podiatrists,VI,6,37499.00
Blood and Organ Banks,NM,6,37495.00
Men’s and Boys’ Cut and Sew Apparel Manufacturing,LA,1,37462.00
Car Washes,GU,12,37457.50
Specialty Canning,SC,3,37450.00
Plate Work Manufacturing,PR,5,37400.00
One-Hour Photofinishing,MN,6,37400.00
"General Freight Trucking, Long-Distance, Truckload",VI,1,37400.00
Aircraft Manufacturing,AR,,37400.00
Coastal and Great Lakes Freight Transportation,KY,4,37400.00
Musical Instrument Manufacturing,KS,5,37375.42
Boat Building,VT,5,37374.37
Fluid Power Valve and Hose Fitting Manufacturing,AZ,5,37362.00
Ball and Roller Bearing Manufacturing,VA,4,37342.00
Direct Title Insurance Carriers,VT,2,37300.00
Administration of Air and Water Resource and Solid Waste Management Programs,UT,4,37300.00
Office Furniture (except Wood) Manufacturing,NH,,37300.00
Custom Compounding of Purchased Resins,UT,3,37300.00
Fruit and Tree Nut Combination Farming,AL,7,37300.00
Wood Preservation,KS,4,37300.00
Support Activities for Printing,ND,4,37300.00
Pesticide and Other Agricultural Chemical Manufacturing,PR,23,37300.00
Fluid Milk Manufacturing,AK,5,37292.00
Household Furniture (except Wood and Metal) Manufacturing,MI,5,37280.00
Secondary Market Financing,KY,3,37250.00
Tire Retreading,UT,0,37242.00
Paper Bag and Coated and Treated Paper Manufacturing,WA,6,37232.00
Political Organizations,UT,4,37228.50
Mushroom Production,WA,6,37206.00
Industrial Launderers,AL,4,37205.00
Motor Home Manufacturing,NY,4,37200.00
Administration of Conservation Programs,GU,12,37168.00
Business and Secretarial Schools,WA,3,37167.00
Heavy Duty Truck Manufacturing,MI,5,37158.00
Reinsurance Carriers,IN,2,37141.22
Manufactured Home (Mobile Home) Manufacturing,UT,7,37137.00
All Other Miscellaneous Chemical Product and Preparation Manufacturing,GU,5,37132.00
Recreational and Vacation Camps (except Campgrounds),ND,12,37127.00
Semiconductor and Related Device Manufacturing,GA,7,37126.00
Crude Petroleum Extraction ,GA,2,37121.00
Other Financial Vehicles,AR,13,37120.00
All Other Metal Ore Mining,AK,36,37102.50
"Photographic Film, Paper, Plate, and Chemical Manufacturing",MD,0,37100.00
Petrochemical Manufacturing,AZ,10,37082.00
Beef Cattle Ranching and Farming,DE,3,37076.46
"Scenic and Sightseeing Transportation, Other",CO,2,37057.00
Other Commercial and Service Industry Machinery Manufacturing,WY,5,37045.00
Telephone Answering Services,NM,4,37037.00
Computer Storage Device Manufacturing,CT,3,37037.00
Fluid Power Pump and Motor Manufacturing,AR,0,37032.50
Sporting Goods Stores,MP,8,37025.00
Outdoor Advertising,RI,5,37025.00
Flour Milling,AZ,5,37000.00
International Affairs,NC,5,36964.00
Mechanical Power Transmission Equipment Manufacturing,CT,3,36957.00
Adhesive Manufacturing,LA,6,36955.00
Other Cut and Sew Apparel Manufacturing,WY,4,36955.00
Ship Building and Repairing,MS,6,36950.00
Leather and Hide Tanning and Finishing,OH,5,36924.00
Other Marine Fishing,OK,4,36917.95
News Syndicates,MS,0,36900.00
Farm Product Warehousing and Storage,MA,1,36900.00
Blind and Shade Manufacturing,AK,6,36878.88
Phosphatic Fertilizer Manufacturing,IA,5,36875.00
All Other Leather Good and Allied Product Manufacturing,VA,3,36867.00
Hardware Merchant Wholesalers,AK,5,36861.70
Berry (except Strawberry) Farming,PA,39,36852.00
Light Truck and Utility Vehicle Manufacturing,WV,4,36800.00
Other Aircraft Parts and Auxiliary Equipment Manufacturing,MT,2,36800.00
Toy and Hobby Goods and Supplies Merchant Wholesalers,ND,8,36800.00
Refrigerated Warehousing and Storage,RI,3,36800.00
Marketing Research and Public Opinion Polling,AK,3,36795.00
Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,DE,5,36785.00
Furniture Merchant Wholesalers,MP,12,36768.95
Hazardous Waste Treatment and Disposal,UT,,36766.00
Regulation of Agricultural Marketing and Commodities,TN,4,36762.50
Packaged Frozen Food Merchant Wholesalers,AS,18,36762.00
Tobacco Farming,NY,4,36762.00
Window Treatment Stores,VT,2,36750.00
Fur-Bearing Animal and Rabbit Production,IA,13,36727.50
Offices of Physicians (except Mental Health Specialists),XX,,36723.00
Automotive Parts and Accessories Stores,MP,14,36722.50
Title Abstract and Settlement Offices,VI,5,36715.50
Storage Battery Manufacturing,TN,11,36706.00
Curtain and Linen Mills,OK,4,36700.00
All Other Basic Organic Chemical Manufacturing,OR,6,36700.00
Corrugated and Solid Fiber Box Manufacturing,PR,10,36700.00
Coal and Other Mineral and Ore Merchant Wholesalers,AZ,,36684.80
Textile Bag and Canvas Mills,WV,8,36682.00
Other Electric Power Generation,GU,,36660.00
Temporary Shelters,ID,9,36650.00
Petrochemical Manufacturing,MD,5,36640.00
Business and Secretarial Schools,VT,2,36629.20
Beer and Ale Merchant Wholesalers,NM,0,36620.00
Air and Gas Compressor Manufacturing,NH,,36600.00
Other Concrete Product Manufacturing,DE,5,36600.00
Secondary Market Financing,IA,3,36600.00
"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",VT,0,36564.00
Telephone Answering Services,WV,14,36550.00
Support Activities for Nonmetallic Minerals (except Fuels) Mining,OH,1,36550.00
Ice Manufacturing,KY,17,36534.61
Florists,AS,19,36532.50
"Environment, Conservation and Wildlife Organizations",MP,5,36523.47
Computer Training,OK,13,36520.00
Metal Tank (Heavy Gauge) Manufacturing,IA,6,36500.00
Irradiation Apparatus Manufacturing,PR,2,36500.00
Motor Vehicle Brake System Manufacturing,WV,6,36500.00
News Syndicates,ME,4,36500.00
"Potash, Soda, and Borate Mineral Mining",MS,6,36500.00
"Scenic and Sightseeing Transportation, Other",NH,4,36500.00
Men's and Boys' Clothing and Furnishings Merchant Wholesalers,NM,8,36497.00
"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",DE,2,36492.00
Political Organizations,DE,7,36486.20
Refrigerated Warehousing and Storage,WA,1,36466.00
Credit Card Issuing,IN,,36455.00
Reupholstery and Furniture Repair,WY,8,36452.00
Automobile Manufacturing,MS,5,36447.50
Hydroelectric Power Generation,AZ,6,36442.00
Fabricated Pipe and Pipe Fitting Manufacturing,KS,4,36400.00
Other Community Housing Services,GU,10,36400.00
Clay and Ceramic and Refractory Minerals Mining,CA,5,36382.00
Finfish Farming and Fish Hatcheries,UT,3,36360.00
Natural Gas Extraction,ID,2,36349.00
Beet Sugar Manufacturing,ID,4,36300.00
"Trust, Fiduciary, and Custody Activities",WV,2,36300.00
Satellite Telecommunications,MT,5,36300.00
